,Air Flow (kg/hr),BMEP (bar),BSFC (kg/kW-hr),Brake Power (kW),Brake Power as percent of Heat Input (%),Brake Thermal Efficiency (%),Exhaust Loss as percent of Heat Input (%),Friction Power (kW),Fuel Flow (kg/hr),Heat Loss as percent of Heat Input (%),IMEP (bar),ISFC (kg/kW-hr),Indicated Thermal Efficiency (%),Mechanical Efficiency (%),Output Torque (Nm),Sum of Brake Power and Losses (%),Volumetric Efficiency (%)
0,30.83920822251422,0.6817417263106912,0.8925634003703438,0.59142017226,9.603159358620465,9.603159358620465,89.58822712232579,1.20857982774,0.52788,39.64916268848982,2.074895590168966,0.2932666666666667,29.227421816646643,32.856676236666665,3.6297,138.84054916943606,84.40174155115328
1,29.612023835533368,2.726966905242765,0.3459174458472012,2.3322327615600003,24.778827070822977,24.778827070822977,78.53401259358421,1.6177672384399997,0.8067599999999999,66.71128960285586,4.618543849158518,0.20424303797468352,41.96680903508213,59.04386738126583,14.5188,170.02412926726305,82.20543125608695
2,30.83920822251422,1.022612589466037,0.6524362403189828,0.8854198530075001,13.13757274923586,13.13757274923586,42.94293799813778,1.6145801469925,0.5776799999999999,46.5828832571666,2.887366332459497,0.23107199999999994,37.094189566146355,35.416794120300004,5.4445500000000004,102.66339400454024,84.56478419420122
3,30.14400453428127,1.874789747354401,0.41966400459649167,1.6138625009100003,20.42450264389491,20.42450264389491,76.45091987412249,1.6861374990899998,0.6772799999999999,52.97661233167966,3.8335398231144233,0.2052363636363636,41.7636934291789,48.90492427000001,9.981675000000001,149.85203484969708,83.14027023689081
4,30.493563380987634,1.3634834526213824,0.5244246218529776,1.17751908333,16.34444344192438,16.34444344192438,,,0.61752,,,,,,7.2594,,83.83290992052018
5,30.14400453428127,2.386096042087419,0.38019652254656566,2.04336429696,22.54473164040779,22.54473164040779,,,0.77688,,,,,,12.70395,,83.57329247770797
6,30.493563380987634,0.1704354315776728,3.3552258859620094,0.1484251781925,2.554650227065405,2.554650227065405,,0.2015748218075,0.49799999999999994,,0.40190216901622516,1.4228571428571428,6.024096385542169,42.40719376928571,0.907425,,83.13519684179627
7,29.432585381315537,3.4087086315534556,0.3262660348741171,2.9000873485499996,26.27128678820545,26.27128678820545,,1.3499126514500004,0.9461999999999999,,4.995370808863903,0.22263529411764704,38.499864118126645,68.23734937764705,18.1485,,82.13564279274193
8,30.83920822251422,0.3408708631553456,1.7009227063661265,0.29571008613,5.039281643632522,5.039281643632522,,0.65428991387,0.50298,,1.0950837837002874,0.5294526315789474,16.18922649579932,31.127377487368417,1.81485,,84.40174155115328
9,29.612023835533368,2.045225178932074,0.4019240237685879,1.7594370034650004,21.325992139160267,21.325992139160267,,1.6405629965349997,0.7071599999999999,,3.9522674552566786,0.2079882352941176,41.21112215461443,51.7481471607353,10.889100000000001,,81.72594397073065
10,30.83920822251422,0.715828812626226,0.8506070439297225,0.6205920862837502,10.076837045493296,10.076837045493296,51.543911495036745,1.1794079137162499,0.52788,33.984996590134116,2.0762299281690746,0.2932666666666667,29.227421816646643,34.47733812687501,3.8111850000000005,95.60574513066416,84.45601919845306
11,30.14400453428127,3.1019248547136447,0.3575967601938538,2.6459971267275,23.96953643199112,23.96953643199112,27.15266524186415,2.5540028732725,0.9461999999999999,35.39209469456775,6.096004066512396,0.18196153846153845,47.1057160974726,50.884560129375004,16.515134999999997,86.51429636842303,83.90103087958131
