,Air Flow (kg/hr),BMEP (bar),BSFC (kg/kW-hr),Brake Power (kW),Brake Power as percent of Heat Input (%),Brake Thermal Efficiency (%),Exhaust Loss as percent of Heat Input (%),Friction Power (kW),Fuel Flow (kg/hr),Heat Loss as percent of Heat Input (%),IMEP (bar),ISFC (kg/kW-hr),Indicated Thermal Efficiency (%),Mechanical Efficiency (%),Output Torque (Nm),Sum of Brake Power and Losses (%),Volumetric Efficiency (%)
0,17.217217739905156,0.690126064498015,0.6012148094035626,0.88620571494,13.608810118857493,13.608810118857493,37.69707977390269,1.36379428506,0.5328,129.9911274911275,1.752170651738196,0.2368,34.55159705159705,39.386920664,4.1202,181.29701738388766,31.833273579621423
1,17.217217739905156,1.3802521289960301,0.628881824243708,1.553232996,13.010104389099844,13.010104389099844,33.57099248008339,0.49676700400000007,0.9768,77.7219678356042,1.8216950526602524,0.4764878048780488,17.17109671655126,75.7674632195122,8.2404,124.30306470478745,36.32530218474578
2,17.217217739905156,1.0351890967470225,0.7484213445544955,1.06784768475,10.93210160472973,10.93210160472973,35.534611631833855,0.7021523152499999,0.7992,96.66006916006916,1.7158670917296566,0.45152542372881355,18.12039312039312,60.33037766949153,6.1803,143.12678239663273,39.62760238335904
3,14.057556271375477,0.34506303224900753,1.967800510804259,0.44223995025,4.157849404396279,4.157849404396279,33.451256016662995,0.95776004975,0.8702400000000001,87.23894348894348,1.0923668132549282,0.6216000000000002,13.162513162513159,31.588567875000003,2.0601,124.84804891000275,26.042024229343447
4,31.438002376929216,0.5175945483735113,0.0,0.48214940917500004,inf,inf,,,0.0,,,,,,3.09015,,80.12857937959944
5,29.824191650328235,1.2077206128715263,0.8358004863045128,1.487436320475,9.789200073326167,9.789200073326167,,,1.2432,,,,,,7.21035,,57.493827861816094
6,17.217217739905156,2.76050425799206,0.3936369093626787,3.1582404252,20.785190583538082,20.785190583538082,37.93480447777323,1.1917595748000003,1.2432,70.25030712530713,3.802178398595169,0.2857931034482759,28.62846612846613,72.60322816551724,16.4808,128.97030218661845,35.72980542761881
7,17.217217739905156,1.7253151612450377,0.5322824217736714,2.502430938,15.371197407862407,15.371197407862407,31.315719696969698,0.6475690620000001,1.332,0.0,2.171785312990671,0.4228571428571429,19.348894348894348,79.442252,10.3005,46.686917104832105,28.18342410885449
8,14.057556271375477,0.8626575806225188,0.8465434231464731,1.258765907175,9.664971645999692,9.664971645999692,,1.461234092825,1.0656,,1.864070679002779,0.39176470588235296,20.884520884520885,46.27815835202206,5.15025,,22.873243217718116
9,14.057556271375477,1.8978466773695415,0.6689799727861411,2.123830395225,12.230288670291388,12.230288670291388,,4.736169604774999,1.4207999999999998,,6.130069630807682,0.20711370262390666,39.50399262899263,30.959626752551024,11.33055,,29.82466462019781
10,14.057556271375477,0.034506303224900746,16.465269580198896,0.05393170125000001,0.49691370930589684,0.49691370930589684,41.0993542432496,1.99606829875,0.8879999999999999,92.56511056511059,1.3116204379153815,0.43317073170731707,18.888206388206388,2.6308146951219515,0.20601000000000003,134.16137851766607,21.354459868061628
11,14.057556271375477,0.6901260644980151,1.0290793487624312,0.949197942,7.950619348894349,7.950619348894349,38.87518749379545,1.5008020579999999,0.9768,82.83525519320975,1.781302701160025,0.39869387755102037,20.521554612463703,38.742773142857146,4.1202,129.66106203589956,24.266431668251855
